Name,LastTX TimeStamp,Latitude,Longitude,SOG,COG
MGO190082,31-10-2025 22:36,-2.606167,9.394,0.5,314.5
MGO196968,31-10-2025 21:07,-6.263,10.2075,0.5,171.9
MGO198870,31-10-2025 23:04,-3.967667,9.713167,0,341.6
MGO198882,31-10-2025 22:44,-2.823667,9.5995,0.3,329.3
MGO199106,31-10-2025 20:02,-3.268,10.244833,0,63.4
MGO199125,31-10-2025 20:56,-5.381667,10.919833,0.2,123.6
MGO176255,31-10-2025 23:08,-2.5615,8.564667,0.5,292.9
MGO176263,31-10-2025 23:16,-5.1585,9.741,0.5,86.7
MGO176349,28-10-2025 11:09,-2.531833,9.53,0.2,331
MGO176384,31-10-2025 23:17,-3.3315,7.849,0.2,256.8
MGO176391,31-10-2025 23:17,-4.150667,7.907667,0.1,125.8
MGO176462,31-10-2025 23:04,-3.853,8.772667,0,5.7
MGO176467,31-10-2025 23:10,-5.087333,10.219167,0.4,123.6
MGO176470,31-10-2025 21:39,-4.787833,8.582167,0.3,117.5
MGO176595,31-10-2025 22:44,-4.5575,10.208833,0.3,119.6
MGO176526,31-10-2025 23:17,-5.078667,8.758667,0.3,110.3
MGO176608,31-10-2025 21:56,-5.660333,10.786333,0.2,167.3
MGO176724,31-10-2025 23:12,-3.4315,7.288167,0.2,328.5
MGO177429,31-10-2025 23:22,-3.275333,8.342,0.7,7.1
MGO174216,31-10-2025 20:58,-5.4295,9.310333,0.4,92.4
MGO174828,31-10-2025 22:06,-4.775167,9.765,0.3,95.6
MGO174809,31-10-2025 21:13,-3.371833,7.312,0.2,326.7
MGO174812,31-10-2025 21:12,-5.110167,10.987167,0.2,116.1
MGO174816,31-10-2025 22:26,-4.332667,10.481333,0.8,4.6
MGO174817,31-10-2025 22:41,-3.2325,10.1125,0.1,329.8
MGO178918,31-10-2025 23:11,-2.341667,9.410833,0,90
MGO178967,19-09-2025 16:06,-3.630833,8.563667,12,303
MGO178970,19-09-2025 14:37,-3.7925,8.812833,0.5,160.7
MGO178982,31-10-2025 22:00,-3.215833,10.286,0.5,319.8
MGO179041,31-10-2025 05:04,-2.5465,9.436833,0.3,325.2
MGO179119,31-10-2025 23:46,-2.424333,9.290333,0,180
MGO133361,31-10-2025 20:13,-5.198667,9.754167,0.5,110.2
MGO133427,31-10-2025 21:50,-5.425,9.535833,0.6,94.1
MGO133435,31-10-2025 22:11,-4.619667,10.362833,0.3,124.1
MGO133352,31-10-2025 21:23,-1.987667,8.071333,1.1,317.3
MGO133384,31-10-2025 19:54,-6.3335,10.329167,0.5,161.3
MGO183921,31-10-2025 21:02,-6.019667,10.818667,0.3,178.3
MGO184110,31-10-2025 23:19,-4.268,9.587167,0.2,118
MGO184082,31-10-2025 23:27,-4.784667,8.402167,0.3,66.1
MGO184177,31-10-2025 23:25,-3.896833,10.884833,0,135
MGO184179,31-10-2025 21:04,-3.431667,10.212,0.2,3.5
MGO184186,31-10-2025 22:58,-5.616,10.713167,0.6,145.2
MGO184199,31-10-2025 22:45,-4.524833,10.649667,0.4,83.8
MGO184301,31-10-2025 23:20,-3.923,9.581833,0.2,115.6
MGO184222,31-10-2025 21:05,-3.918333,10.868833,0,270
MGO184291,31-10-2025 21:05,-2.421,8.202167,0.7,315.9
MGO184369,31-10-2025 21:07,-5.694833,10.5045,0.4,142.7
MGO184371,31-10-2025 21:45,-4.524167,9.715667,0.3,119.6
SLX+527020,04-11-2025 06:50,-2.14738,8.19758,0,0
SLX+527021,04-11-2025 14:45,-2.9241,8.18183,0.32,217
SLX+544211,04-11-2025 07:35,-3.82738,8.398,0.17,211
SLX+544568,04-11-2025 12:27,-1.93658,7.65118,0.76,180
SLX+544747,04-11-2025 15:05,-2.14352,8.11737,0.71,178
SLX+514636,04-11-2025 09:49,-5.45807,8.33238,0.25,159
MGO190082,31-10-2025 22:36,-2.606167,9.394,0.5,314.5
MGO196968,31-10-2025 21:07,-6.263,10.2075,0.5,171.9
MGO198870,31-10-2025 23:04,-3.967667,9.713167,0,341.6
MGO198882,31-10-2025 22:44,-2.823667,9.5995,0.3,329.3
MGO199106,31-10-2025 20:02,-3.268,10.244833,0,63.4
MGO199125,31-10-2025 20:56,-5.381667,10.919833,0.2,123.6
MGO176255,31-10-2025 23:08,-2.5615,8.564667,0.5,292.9
MGO176263,31-10-2025 23:16,-5.1585,9.741,0.5,86.7
MGO176349,28-10-2025 11:09,-2.531833,9.53,0.2,331
MGO176384,31-10-2025 23:17,-3.3315,7.849,0.2,256.8
MGO176391,31-10-2025 23:17,-4.150667,7.907667,0.1,125.8
MGO176462,31-10-2025 23:04,-3.853,8.772667,0,5.7
MGO176467,31-10-2025 23:10,-5.087333,10.219167,0.4,123.6
MGO176470,31-10-2025 21:39,-4.787833,8.582167,0.3,117.5
MGO176595,31-10-2025 22:44,-4.5575,10.208833,0.3,119.6
MGO176526,31-10-2025 23:17,-5.078667,8.758667,0.3,110.3
MGO176608,31-10-2025 21:56,-5.660333,10.786333,0.2,167.3
MGO176724,31-10-2025 23:12,-3.4315,7.288167,0.2,328.5
MGO177429,31-10-2025 23:22,-3.275333,8.342,0.7,7.1
MGO174216,31-10-2025 20:58,-5.4295,9.310333,0.4,92.4
MGO174828,31-10-2025 22:06,-4.775167,9.765,0.3,95.6
MGO174809,31-10-2025 21:13,-3.371833,7.312,0.2,326.7
MGO174812,31-10-2025 21:12,-5.110167,10.987167,0.2,116.1
MGO174816,31-10-2025 22:26,-4.332667,10.481333,0.8,4.6
MGO174817,31-10-2025 22:41,-3.2325,10.1125,0.1,329.8
MGO178918,31-10-2025 23:11,-2.341667,9.410833,0,90
MGO178967,19-09-2025 16:06,-3.630833,8.563667,12,303
MGO178970,19-09-2025 14:37,-3.7925,8.812833,0.5,160.7
MGO178982,31-10-2025 22:00,-3.215833,10.286,0.5,319.8
MGO179041,31-10-2025 05:04,-2.5465,9.436833,0.3,325.2
MGO179119,31-10-2025 23:46,-2.424333,9.290333,0,180
MGO133361,31-10-2025 20:13,-5.198667,9.754167,0.5,110.2
MGO133427,31-10-2025 21:50,-5.425,9.535833,0.6,94.1
MGO133435,31-10-2025 22:11,-4.619667,10.362833,0.3,124.1
MGO133352,31-10-2025 21:23,-1.987667,8.071333,1.1,317.3
MGO133384,31-10-2025 19:54,-6.3335,10.329167,0.5,161.3
MGO183921,31-10-2025 21:02,-6.019667,10.818667,0.3,178.3
MGO184110,31-10-2025 23:19,-4.268,9.587167,0.2,118
MGO184082,31-10-2025 23:27,-4.784667,8.402167,0.3,66.1
MGO184177,31-10-2025 23:25,-3.896833,10.884833,0,135
MGO184179,31-10-2025 21:04,-3.431667,10.212,0.2,3.5
MGO184186,31-10-2025 22:58,-5.616,10.713167,0.6,145.2
MGO184199,31-10-2025 22:45,-4.524833,10.649667,0.4,83.8
MGO184301,31-10-2025 23:20,-3.923,9.581833,0.2,115.6
MGO184222,31-10-2025 21:05,-3.918333,10.868833,0,270
MGO184291,31-10-2025 21:05,-2.421,8.202167,0.7,315.9
MGO184369,31-10-2025 21:07,-5.694833,10.5045,0.4,142.7
MGO184371,31-10-2025 21:45,-4.524167,9.715667,0.3,119.6
MGO199106,01-11-2025 00:01,-3.268167,10.2445,0,243.4
MGO133361,01-11-2025 00:13,-5.203,9.803333,0.7,95.1
MGO133384,31-10-2025 23:54,-6.363,10.3315,0.4,175.5
MGO174809,01-11-2025 01:12,-3.365667,7.308,0.1,327.1
MGO174812,01-11-2025 01:13,-5.116,10.998167,0.2,118.7
MGO133352,01-11-2025 01:23,-1.9285,8.044333,1,335.5
MGO174216,01-11-2025 00:58,-5.423667,9.342167,0.5,79.6
MGO183921,01-11-2025 01:03,-6.0445,10.818,0.4,181.5
MGO184179,01-11-2025 01:04,-3.4115,10.206167,0.3,343.9
MGO184222,01-11-2025 01:05,-3.918667,10.868833,0,180
MGO184291,01-11-2025 01:05,-2.387833,8.172833,0.7,318.5
MGO184369,01-11-2025 01:07,-5.7155,10.515833,0.4,151.4
MGO184371,01-11-2025 01:46,-4.520833,9.734833,0.3,80.1
MGO176470,01-11-2025 01:40,-4.784167,8.605333,0.4,81
MGO196968,01-11-2025 01:07,-6.295,10.214167,0.5,168.3
MGO199125,01-11-2025 00:57,-5.389333,10.924333,0.1,149.7
MGO190082,01-11-2025 02:36,-2.5815,9.366,0.6,311.4
MGO198882,01-11-2025 02:43,-2.809333,9.586,0.3,316.4
MGO178982,01-11-2025 02:00,-3.187,10.251333,0.7,309.8
MGO184199,01-11-2025 02:45,-4.522167,10.666833,0.3,81.7
MGO133427,01-11-2025 01:53,-5.427333,9.569167,0.5,94
MGO133435,01-11-2025 02:11,-4.6245,10.38,0.3,105.8
MGO174828,01-11-2025 02:06,-4.772167,9.785833,0.3,81.8
MGO174816,01-11-2025 02:26,-4.2895,10.470667,0.7,346.2
MGO174817,01-11-2025 02:41,-3.220667,10.102833,0.2,320.8
MGO176595,01-11-2025 02:45,-4.5625,10.226333,0.3,106
MGO176608,01-11-2025 01:58,-5.677667,10.795167,0.3,153.1
MGO184110,01-11-2025 03:19,-4.268167,9.598167,0.2,91.7
MGO184082,01-11-2025 03:27,-4.773667,8.414667,0.3,48.6
MGO184177,01-11-2025 03:25,-3.896667,10.885,0,45
MGO184186,01-11-2025 02:58,-5.643667,10.738167,0.6,138
MGO184301,01-11-2025 03:21,-3.928667,9.5915,0.2,120.4
MGO198870,01-11-2025 03:04,-3.965667,9.710167,0.1,303.7
MGO176255,01-11-2025 03:07,-2.545833,8.541,0.4,303.5
MGO176263,01-11-2025 03:16,-5.1575,9.761,0.3,87.1
MGO176384,01-11-2025 03:17,-3.333833,7.840333,0.1,254.9
MGO176391,01-11-2025 03:16,-4.1525,7.9135,0.1,107.5
MGO176462,01-11-2025 03:04,-3.847167,8.770333,0.1,338.2
MGO176467,01-11-2025 03:10,-5.100833,10.234833,0.3,131.2
MGO176526,01-11-2025 03:17,-5.0745,8.7905,0.5,82.6
MGO176724,01-11-2025 03:12,-3.435,7.272833,0.2,257.1
MGO177429,01-11-2025 03:22,-3.2215,8.335,0.8,352.6
MGO178918,01-11-2025 03:09,-2.341667,9.411,0,90
MGO179119,01-11-2025 03:47,-2.424333,9.290333,0,0
MGO133361,01-11-2025 04:12,-5.206167,9.835333,0.5,95.7
MGO133384,01-11-2025 03:55,-6.3925,10.331667,0.4,179.4
MGO199106,01-11-2025 04:01,-3.268,10.244667,0,45
MGO174216,01-11-2025 04:58,-5.421167,9.369833,0.4,84.8
MGO133352,01-11-2025 05:23,-1.876833,7.996833,1.1,317.4
MGO183921,01-11-2025 05:02,-6.065,10.823667,0.3,164.6
MGO184179,01-11-2025 05:04,-3.400333,10.195667,0.2,316.8
MGO184222,01-11-2025 05:05,-3.9185,10.868833,0,0
MGO184291,01-11-2025 05:05,-2.3555,8.145333,0.6,319.5
MGO184369,01-11-2025 05:07,-5.731333,10.524,0.3,152.8
MGO184371,01-11-2025 05:46,-4.521667,9.747167,0.2,93.8
MGO176470,01-11-2025 05:39,-4.7715,8.6135,0.2,32.7
MGO174809,01-11-2025 05:12,-3.366333,7.297667,0.2,266.3
MGO174812,01-11-2025 05:12,-5.116,11.011833,0.2,90
MGO196968,01-11-2025 05:07,-6.3315,10.229,0.6,158
MGO199125,01-11-2025 04:57,-5.401833,10.932167,0.2,147.5
MGO190082,01-11-2025 06:36,-2.564167,9.336,0.5,300
MGO198882,01-11-2025 06:43,-2.7985,9.5745,0.2,313.3
