buoy_id,timestamp,lat,lon,speed_kn,course_deg,in_area
MGO198527,2025-11-04 17:58:00.000000000,-1.607167,8.409833,0.7,149.5,False
MGO184371,2025-11-04 17:46:00.000000000,-4.532667,9.702,0.1,44.9,False
MGO176470,2025-11-04 17:40:00.000000000,-4.893667,8.658667,0.2,113.5,False
MGO174812,2025-11-04 17:17:00.000000000,-4.915333,10.866667,0.3,317.0,False
MGO174809,2025-11-04 17:13:00.000000000,-3.593833,7.283833,0.4,153.5,False
MGO184222,2025-11-04 17:11:00.000000000,-3.918833,10.8695,0.0,108.5,False
MGO184369,2025-11-04 17:07:00.000000000,-6.006833,10.476167,0.1,280.6,False
MGO184291,2025-11-04 17:05:00.000000000,-2.063833,7.691833,0.2,351.4,False
MGO184179,2025-11-04 17:04:00.000000000,-3.163167,9.976167,0.0,45.0,False
MGO179041,2025-11-04 17:03:00.000000000,-2.507167,9.246833,0.1,36.5,False
MGO174216,2025-11-04 17:00:00.000000000,-5.4385,9.658667,0.3,112.2,False
MGO199125,2025-11-04 16:57:00.000000000,-5.229,10.805167,0.3,337.4,False
SLX+481061,2025-11-04 16:25:00.000000000,-5.9586,7.54197,0.14,153.0,False
MGO198526,2025-11-04 16:24:00.000000000,-2.028167,8.178833,0.8,165.7,False
MGO133361,2025-11-04 16:13:00.000000000,-5.493,9.990333,0.5,168.8,False
MGO199106,2025-11-04 16:01:00.000000000,-3.268333,10.244333,0.0,243.4,False
MGO199103,2025-11-04 15:55:00.000000000,-1.756,8.8325,0.2,137.4,False
MGO179119,2025-11-04 15:46:00.000000000,-2.425167,9.290667,0.0,225.1,False
MGO184082,2025-11-04 15:27:00.000000000,-4.870333,8.504167,0.2,124.1,False
MGO184177,2025-11-04 15:25:00.000000000,-3.380667,10.3785,0.8,329.3,False
MGO177429,2025-11-04 15:22:00.000000000,-2.696167,8.082,0.4,330.3,False
MGO184301,2025-11-04 15:21:00.000000000,-3.953,9.493,0.2,286.8,False
MGO184110,2025-11-04 15:19:00.000000000,-4.315833,9.548,0.3,350.4,False
MGO176526,2025-11-04 15:17:00.000000000,-5.146167,8.926833,0.2,140.6,False
MGO176391,2025-11-04 15:17:00.000000000,-4.257333,8.057833,0.2,107.8,False
MGO176384,2025-11-04 15:17:00.000000000,-3.669167,7.666667,0.4,161.5,False
MGO176336,2025-11-04 15:16:00.000000000,-4.288667,7.915333,0.3,94.2,False
MGO176263,2025-11-04 15:16:00.000000000,-5.324333,9.928833,0.3,145.6,False
MGO176467,2025-11-04 15:10:00.000000000,-5.3445,10.305,0.1,50.1,False
MGO176255,2025-11-04 15:07:00.000000000,-2.679167,8.313333,0.2,232.4,False
MGO198870,2025-11-04 15:06:00.000000000,-3.894,9.170667,0.5,277.4,False
MGO178918,2025-11-04 15:06:00.000000000,-2.3415,9.411,0.0,270.0,False
MGO176462,2025-11-04 15:05:00.000000000,-3.875167,8.7215,0.1,178.8,False
SLX+544747,2025-11-04 15:05:00.000000000,-2.14352,8.11737,0.71,178.0,True
MGO184186,2025-11-04 14:58:00.000000000,-5.7545,10.672333,0.1,230.8,False
MGO196407,2025-11-04 14:50:00.000000000,-1.902333,8.160167,1.0,155.2,False
SLX+527021,2025-11-04 14:45:00.000000000,-2.9241,8.18183,0.32,217.0,False
MGO184199,2025-11-04 14:45:00.000000000,-4.199667,10.4165,0.2,344.2,True
MGO176595,2025-11-04 14:44:00.000000000,-4.581833,10.177833,0.2,54.4,True
MGO174817,2025-11-04 14:41:00.000000000,-3.2095,10.093,0.0,224.8,False
MGO190082,2025-11-04 14:36:00.000000000,-2.2725,8.8605,0.4,291.6,False
MGO183926,2025-11-04 14:36:00.000000000,-1.519667,8.409833,0.7,154.0,False
MGO174815,2025-11-04 14:28:00.000000000,-4.739833,8.292833,0.3,99.4,False
MGO174816,2025-11-04 14:26:00.000000000,-2.783333,9.66,1.1,321.7,False
MGO191576,2025-11-04 14:18:00.000000000,-1.712333,8.548833,0.9,165.0,False
MGO133435,2025-11-04 14:12:00.000000000,-4.567,10.084333,0.3,333.9,False
MGO198689,2025-11-04 14:06:00.000000000,-1.562667,8.6375,0.5,153.3,False
MGO174828,2025-11-04 14:06:00.000000000,-4.712833,9.649333,0.2,6.1,False
SLX+481434,2025-11-04 14:00:00.000000000,-5.68493,8.9848,0.33,122.0,False
MGO178982,2025-11-04 14:00:00.000000000,-2.637,9.415333,0.3,272.2,False
MGO198527,2025-11-04 13:58:00.000000000,-1.5645,8.384667,0.8,167.0,False
MGO176608,2025-11-04 13:56:00.000000000,-5.973167,10.737667,0.3,280.4,False
SLX+544741,2025-11-04 13:54:00.000000000,-2.31105,7.87165,0.62,176.0,False
MGO133427,2025-11-04 13:51:00.000000000,-5.665167,9.875833,0.4,143.4,False
MGO184371,2025-11-04 13:46:00.000000000,-4.537833,9.696833,0.0,56.2,False
MGO176470,2025-11-04 13:40:00.000000000,-4.887667,8.644833,0.3,142.6,False
SLX+526979,2025-11-04 13:24:00.000000000,-2.82602,8.53857,0.38,185.0,True
MGO174812,2025-11-04 13:17:00.000000000,-4.931,10.881333,0.2,326.2,False
MGO184222,2025-11-04 13:17:00.000000000,-3.9185,10.8685,0.0,0.0,False
MGO174809,2025-11-04 13:13:00.000000000,-3.572833,7.273333,0.3,145.0,False
MGO184369,2025-11-04 13:07:00.000000000,-6.008167,10.483333,0.0,199.3,False
MGO184291,2025-11-04 13:05:00.000000000,-2.074833,7.6935,0.2,259.1,False
MGO179041,2025-11-04 13:04:00.000000000,-2.511667,9.2435,0.2,176.4,False
MGO184179,2025-11-04 13:04:00.000000000,-3.163333,9.976,0.0,0.0,False
MGO174216,2025-11-04 12:58:00.000000000,-5.431333,9.641,0.4,113.8,False
MGO199125,2025-11-04 12:57:00.000000000,-5.247333,10.812833,0.3,348.8,False
SLX+544568,2025-11-04 12:27:00.000000000,-1.93658,7.65118,0.76,180.0,False
MGO198526,2025-11-04 12:25:00.000000000,-1.974,8.165,0.9,157.3,False
MGO133361,2025-11-04 12:13:00.000000000,-5.462,9.984167,0.5,157.7,False
MGO199106,2025-11-04 12:01:00.000000000,-3.268167,10.244667,0.0,90.0,False
MGO199103,2025-11-04 11:55:00.000000000,-1.748,8.825,0.3,123.0,False
MGO179119,2025-11-04 11:48:00.000000000,-2.425,9.290833,0.0,270.0,False
SLX+544448,2025-11-04 11:46:00.000000000,-3.2754,7.67102,0.23,148.0,False
MGO184082,2025-11-04 11:27:00.000000000,-4.861833,8.491333,0.4,120.3,False
MGO184177,2025-11-04 11:25:00.000000000,-3.428667,10.407167,0.5,318.4,False
MGO177429,2025-11-04 11:22:00.000000000,-2.7195,8.095333,0.4,295.7,False
MGO184110,2025-11-04 11:20:00.000000000,-4.3355,9.551333,0.1,66.4,False
MGO184301,2025-11-04 11:20:00.000000000,-3.957667,9.5085,0.3,282.7,False
MGO176391,2025-11-04 11:19:00.000000000,-4.253,8.0445,0.1,110.6,False
MGO176526,2025-11-04 11:17:00.000000000,-5.134833,8.9175,0.2,142.2,False
MGO176384,2025-11-04 11:17:00.000000000,-3.641333,7.657333,0.4,157.4,False
MGO176336,2025-11-04 11:16:00.000000000,-4.287167,7.895,0.3,103.0,False
MGO176263,2025-11-04 11:16:00.000000000,-5.3095,9.9185,0.3,141.1,False
MGO176467,2025-11-04 11:10:00.000000000,-5.3495,10.299,0.1,179.0,False
MGO176255,2025-11-04 11:08:00.000000000,-2.671333,8.3235,0.2,174.4,True
MGO198870,2025-11-04 11:05:00.000000000,-3.898,9.201667,0.3,251.5,False
MGO176462,2025-11-04 11:04:00.000000000,-3.867333,8.721333,0.1,172.1,False
MGO184186,2025-11-04 10:58:00.000000000,-5.750333,10.677833,0.2,303.2,False
MGO196407,2025-11-04 10:50:00.000000000,-1.842,8.132333,0.9,154.5,False
MGO184199,2025-11-04 10:45:00.000000000,-4.214333,10.420667,0.3,282.6,True
MGO176595,2025-11-04 10:45:00.000000000,-4.5885,10.1685,0.1,260.1,True
MGO174817,2025-11-04 10:41:00.000000000,-3.209333,10.093167,0.0,63.4,False
MGO183926,2025-11-04 10:36:00.000000000,-1.48,8.3905,0.8,155.9,False
MGO190082,2025-11-04 10:36:00.000000000,-2.2825,8.885833,0.3,267.5,False
MGO174815,2025-11-04 10:27:00.000000000,-4.736833,8.274667,0.2,124.5,False
MGO174816,2025-11-04 10:26:00.000000000,-2.842333,9.706667,1.0,317.0,False
MGO191576,2025-11-04 10:18:00.000000000,-1.657,8.534,0.9,169.2,False
MGO133435,2025-11-04 10:11:00.000000000,-4.586,10.093667,0.3,292.4,False
MGO174828,2025-11-04 10:07:00.000000000,-4.723667,9.648167,0.2,283.5,False
MGO198689,2025-11-04 10:05:00.000000000,-1.5305,8.621333,0.6,152.3,False
MGO178982,2025-11-04 10:01:00.000000000,-2.637667,9.432667,0.5,261.4,False
SLX+544934,2025-11-04 09:58:00.000000000,-4.46987,7.30727,0.3,133.0,False
MGO198527,2025-11-04 09:58:00.000000000,-1.512,8.3725,0.9,165.5,False
MGO176608,2025-11-04 09:56:00.000000000,-5.976833,10.757833,0.1,240.6,False
MGO133427,2025-11-04 09:50:00.000000000,-5.6435,9.859667,0.6,149.3,False
SLX+514636,2025-11-04 09:49:00.000000000,-5.45807,8.33238,0.25,159.0,False
MGO184371,2025-11-04 09:45:00.000000000,-4.5385,9.696,0.1,216.8,False
MGO176470,2025-11-04 09:39:00.000000000,-4.872,8.632833,0.2,184.2,False
MGO174812,2025-11-04 09:13:00.000000000,-4.944667,10.8905,0.3,352.2,False
MGO174809,2025-11-04 09:13:00.000000000,-3.558333,7.263167,0.2,148.7,False
MGO184222,2025-11-04 09:09:00.000000000,-3.918833,10.8685,0.0,236.3,False
MGO184369,2025-11-04 09:06:00.000000000,-6.005333,10.484333,0.2,229.9,False
MGO179041,2025-11-04 09:05:00.000000000,-2.495667,9.2425,0.3,191.1,False
MGO184291,2025-11-04 09:05:00.000000000,-2.072167,7.707333,0.3,204.8,False
MGO184179,2025-11-04 09:04:00.000000000,-3.163333,9.976,0.0,270.0,False
MGO199125,2025-11-04 09:00:00.000000000,-5.266667,10.816667,0.2,291.9,False
MGO174216,2025-11-04 08:58:00.000000000,-5.421,9.6175,0.4,114.4,False
SLX+544742,2025-11-04 08:49:00.000000000,-4.20605,9.13107,0.14,227.0,False
MGO198526,2025-11-04 08:24:00.000000000,-1.921333,8.143,0.9,163.2,False
SLX+527028,2025-11-04 08:23:00.000000000,-5.32547,10.1609,0.41,150.0,False
MGO133361,2025-11-04 08:13:00.000000000,-5.432833,9.972167,0.4,134.6,False
MGO199106,2025-11-04 08:01:00.000000000,-3.268167,10.244333,0.0,0.0,False
MGO199103,2025-11-04 07:55:00.000000000,-1.736,8.8065,0.3,163.6,False
MGO179119,2025-11-04 07:47:00.000000000,-2.425,9.291,0.0,135.1,False
SLX+544211,2025-11-04 07:35:00.000000000,-3.82738,8.398,0.17,211.0,False
MGO184082,2025-11-04 07:27:00.000000000,-4.848833,8.469,0.2,150.7,False
MGO184177,2025-11-04 07:24:00.000000000,-3.4515,10.427333,0.5,299.8,False
MGO177429,2025-11-04 07:23:00.000000000,-2.73,8.116833,0.3,263.3,False
MGO184301,2025-11-04 07:21:00.000000000,-3.962333,9.529333,0.1,274.0,False
MGO184110,2025-11-04 07:19:00.000000000,-4.337333,9.5475,0.2,268.2,False
MGO176526,2025-11-04 07:17:00.000000000,-5.122,8.9075,0.4,128.9,False
MGO176384,2025-11-04 07:17:00.000000000,-3.617333,7.647333,0.4,175.6,False
MGO176391,2025-11-04 07:16:00.000000000,-4.2495,8.035167,0.2,135.7,False
MGO176336,2025-11-04 07:16:00.000000000,-4.283167,7.877667,0.3,103.3,False
MGO176263,2025-11-04 07:16:00.000000000,-5.2955,9.907167,0.3,129.1,False
MGO176349,2025-11-04 07:11:00.000000000,-2.526333,9.527,0.0,331.4,False
MGO176467,2025-11-04 07:11:00.000000000,-5.340167,10.298833,0.1,184.1,False
MGO176255,2025-11-04 07:07:00.000000000,-2.6595,8.322333,0.2,195.5,True
MGO178918,2025-11-04 07:07:00.000000000,-2.3415,9.411167,0.0,45.1,False
MGO198870,2025-11-04 07:04:00.000000000,-3.8925,9.218167,0.4,262.4,False
MGO176462,2025-11-04 07:04:00.000000000,-3.860167,8.720333,0.1,222.0,False
MGO184186,2025-11-04 06:58:00.000000000,-5.757167,10.688333,0.2,353.4,False
MGO196407,2025-11-04 06:50:00.000000000,-1.789,8.107,0.9,159.3,False
SLX+527020,2025-11-04 06:50:00.000000000,-2.14738,8.19758,0.0,0.0,True
MGO176595,2025-11-04 06:47:00.000000000,-4.587833,10.172333,0.1,33.0,True
MGO184199,2025-11-04 06:45:00.000000000,-4.219333,10.443167,0.5,296.4,True
MGO198882,2025-11-04 06:43:00.000000000,-2.6775,9.409167,0.2,198.4,False
MGO174817,2025-11-04 06:43:00.000000000,-3.2095,10.092833,0.0,0.0,False
MGO190082,2025-11-04 06:36:00.000000000,-2.281667,8.904833,0.4,269.2,False
MGO183926,2025-11-04 06:36:00.000000000,-1.4315,8.368833,0.7,164.4,False
MGO174815,2025-11-04 06:27:00.000000000,-4.728833,8.263,0.2,74.0,False
MGO174816,2025-11-04 06:27:00.000000000,-2.8895,9.750667,0.9,304.9,False
MGO191576,2025-11-04 06:18:00.000000000,-1.597,8.5225,0.9,174.2,False
MGO133435,2025-11-04 06:11:00.000000000,-4.593667,10.112333,0.3,296.6,False
