buoy_id,timestamp,lat,lon,speed_kn,course_deg,in_area
MGO133352,2025-11-01 17:23:25,-1.783833,7.923167,0.5,336.1,False
MGO133361,2025-11-02 12:13:28,-5.224667,9.965333,0.1,233.3,False
MGO133384,2025-11-02 11:54:22,-6.636167,10.329667,0.5,182.0,False
MGO133427,2025-11-02 05:51:31,-5.387167,9.761667,0.2,57.1,False
MGO133435,2025-11-02 10:11:45,-4.607833,10.371333,0.2,254.1,True
MGO174216,2025-11-02 12:58:26,-5.3605,9.505167,0.1,59.7,False
MGO174809,2025-11-02 09:12:55,-3.3945,7.25,0.1,198.0,False
MGO174812,2025-11-02 09:13:21,-5.095,11.033333,0.1,338.1,False
MGO174815,2025-11-02 10:27:22,-4.638167,8.186167,0.1,207.9,False
MGO174816,2025-11-02 10:26:52,-3.754333,10.246833,1.4,327.9,True
MGO174817,2025-11-02 10:43:29,-3.2095,10.093,0.0,90.0,False
MGO174828,2025-11-02 10:06:28,-4.718333,9.789333,0.2,335.7,False
MGO176255,2025-11-02 11:09:06,-2.485667,8.4755,0.1,274.3,True
MGO176263,2025-11-02 11:16:19,-5.153333,9.855333,0.0,245.5,False
MGO176349,2025-10-28 11:09:10,-2.531833,9.53,0.2,331.0,False
MGO176384,2025-11-02 11:18:06,-3.4085,7.742833,0.3,240.7,False
MGO176391,2025-11-02 11:19:47,-4.16,7.968333,0.2,131.9,False
MGO176462,2025-11-02 11:04:23,-3.823333,8.799,0.1,122.3,False
MGO176467,2025-11-02 11:10:50,-5.178667,10.298167,0.1,168.0,False
MGO176470,2025-11-02 09:39:51,-4.735167,8.647,0.1,303.8,False
MGO176526,2025-11-02 11:17:54,-5.001667,8.876333,0.1,314.2,False
MGO176595,2025-11-02 10:45:20,-4.557167,10.247,0.2,251.9,True
MGO176608,2025-11-02 09:56:53,-5.8165,10.817167,0.2,207.8,False
MGO176724,2025-11-02 11:13:35,-3.4935,7.179667,0.2,236.3,False
MGO177429,2025-11-02 11:22:37,-2.982167,8.330167,0.7,348.7,False
MGO178918,2025-11-02 03:06:09,-2.341667,9.411,0.0,0.0,False
MGO178982,2025-11-02 10:00:54,-2.964667,9.944833,0.8,302.9,False
MGO179041,2025-11-02 09:04:09,-2.522333,9.422667,0.0,329.6,False
MGO179119,2025-11-02 11:46:43,-2.424333,9.290333,0.0,243.4,False
MGO183921,2025-11-02 09:02:41,-6.153833,10.8265,0.2,205.8,False
MGO184082,2025-11-02 11:28:30,-4.7175,8.445333,0.0,167.0,False
MGO184110,2025-11-02 11:20:06,-4.239833,9.6055,0.1,228.3,False
MGO184177,2025-11-02 11:25:00,-3.81,10.825333,1.0,329.0,False
MGO184179,2025-11-02 09:04:52,-3.274167,10.084,0.4,311.4,False
MGO184186,2025-11-02 10:58:09,-5.738333,10.800333,0.1,233.0,False
MGO184199,2025-11-02 10:45:11,-4.446667,10.688667,0.3,340.7,True
MGO184222,2025-11-02 09:10:51,-3.9185,10.869167,0.0,0.0,False
MGO184291,2025-11-02 09:05:38,-2.046833,8.029667,0.6,332.3,False
MGO184301,2025-11-02 11:21:35,-3.915667,9.619167,0.1,43.1,True
MGO184369,2025-11-02 09:07:11,-5.836833,10.561,0.2,189.4,False
MGO184371,2025-11-02 09:46:02,-4.49,9.7575,0.1,259.0,False
MGO190082,2025-11-02 10:36:18,-2.369333,9.177167,0.5,317.5,False
MGO196968,2025-11-02 09:07:42,-6.542,10.233,0.6,192.2,False
MGO198870,2025-11-02 11:04:55,-3.877833,9.5635,0.5,294.6,True
MGO198882,2025-11-02 10:43:54,-2.704333,9.492,0.2,332.2,False
MGO199106,2025-11-02 12:01:59,-3.268167,10.244333,0.0,270.0,False
MGO199125,2025-11-02 12:57:36,-5.376667,10.958667,0.3,328.1,False
